PLUIDM|PLUIGR|DESKRIPSI|SALDO_AWAL|BPB_QTY|BPBR_QTY|MPP_QTY|ADJP_QTY|DSPB_QTY|MPN_QTY|ADJM_QTY|SALDO_AKHIR
20102725|1525080|"SUNLIGHT PENCUCI PIRING REF MINT ANTI BAU PCH 210mL"|-212|0|0|0|0|408|0|0|-620
20103178|1525370|"HEMAVITON HEALTH DRINK VITAMIN C1000 LESS SGR ORANGE KLG 330mL"|-680|0|795|0|0|3|0|0|112
20103170|1525540|"VASELINE HEALTHY BRIGHT VIT.BODY SERUM SOFT + GLOW TUB 180mL"|-747|0|0|0|0|436|0|0|-1183
20103168|1525580|"MARINA HAND BODY LOTION UV WHITE E COLLAGEN ASTA BTL 185mL"|-897|336|0|0|0|179|0|0|-740
20103167|1525880|"MY BABY HAIR & BODY WASH REFILL  PCH 400mL"|-630|72|0|0|0|48|0|0|-606
20103266|1525930|"MY BABY KIDS SHAMPOO & CONDITIONER HEALTHY & FRESH BTL 180mL"|-248|0|0|0|0|61|0|0|-309
20103267|1525960|"MY BABY BABY POWDER TELON PLUS BTL 250+63g"|-390|216|0|0|0|35|0|0|-209
20067200|1529200|"BUAVITA JUICE (79367) NEW GUAVA TPK 1000mL"|162|0|2|0|0|62|0|0|102
20067201|1529210|"BUAVITA JUICE (79425) NEW MANGO TPK 1000mL"|61|48|0|0|0|48|0|0|61
20067242|1529240|"SUNSILK SHAMPOO CO-CREATIONS BLACK SHINE BTL 340/320mL"|635|0|0|0|0|14|0|0|621
20067245|1529250|"SUNSILK SHAMPOO CO-CREATIONS SOFT & SMOOTH BTL 340/320mL"|118|0|0|0|0|22|0|0|96
20067246|1529260|"SUNSILK KONDISIONER CO-CREATIONS BLACK SHINE BTL 170/160mL"|-168|72|0|0|0|59|0|0|-155
20067247|1529270|"SUNSILK KONDISIONER CO-CREATIONS SOFT & SMOOTH BTL 170/160mL"|46|0|0|0|0|45|0|0|1
